,title,artist,date,medium,dimension,image_path
0,Metamorphosis,Kurt Seligmann,1959,Oil and tempera on canvas,152.4 × 182.9 cm (60 × 72 in.),Dataset\Kurt Seligmann\metamorphosis
1,"Studies of Pierre Renoir; His Mother, Aline Charigot; Nudes; and Landscape",Pierre-Auguste Renoir,1885/86,Oil on canvas,45.8 × 39 cm (18 × 15 3/8 in.),Dataset\Pierre-Auguste Renoir\studies-of-pierre-renoir-his-mother-aline-charigot-nudes-and-landscape
2,Alexander at the Tomb of Cyrus the Great,Pierre Henri de Valenciennes,1796,Oil on canvas,16 9/16 × 35 7/8 in. (42 × 91.1 cm),Dataset\Pierre Henri de Valenciennes\alexander-at-the-tomb-of-cyrus-the-great
3,Mount Athos Carved as a Monument to Alexander the Great,Pierre Henri de Valenciennes,1796,Oil on canvas,16 1/2 × 36 in. (41.9 × 91.4 cm),Dataset\Pierre Henri de Valenciennes\mount-athos-carved-as-a-monument-to-alexander-the-great
4,Dancing Girl,Paul Klee,1940,Oil on cloth,21 × 20 7/8 in. (53.3 × 51.2 cm),Dataset\Paul Klee\dancing-girl
5,"Stack of Wheat (Thaw, Sunset)",Claude Monet,1890/91,Oil on canvas,64.4 × 92.5 cm (25 3/8 × 36 7/16 in.),Dataset\Claude Monet\stack-of-wheat-thaw-sunset
6,Daisies,Henri Matisse,1939,Oil on canvas,92 × 65 cm (36 3/16 × 25 5/8 in.),Dataset\Henri Matisse\daisies
7,Two Candles (Zwei Kerzen),Gerhard Richter,1982,Oil on canvas,120 × 100 cm (47 1/4 × 39 1/2 in.),Dataset\Gerhard Richter\two-candles-zwei-kerzen
8,Untitled,László Moholy-Nagy,1939,Oil and ink on canvas,96.5 × 76.9 cm (38 × 30 1/4 in.),Dataset\László Moholy-Nagy\untitled
9,Interrogation II,Leon Golub,1981,Acrylic on canvas,305 × 427 cm (120 × 168 in.),Dataset\Leon Golub\interrogation-ii
10,Pietà,Luis de Morales,1578/85,Oil on panel,26 3/16 × 19 1/8 in. (66.5 × 48.5 cm),Dataset\Luis de Morales\pieta
11,Saint Francis,Peter Paul Rubens,c. 1615,Oil on panel,43 1/4 × 31 in. (99 × 78.8 cm),Dataset\Peter Paul Rubens\saint-francis
12,The Adoration of the Christ Child,Jacob Cornelisz. van Oostsanen,c. 1515,Oil on panel,"98.5 × 76.3 cm (38 3/4 × 30 1/16 in.)
Painted surface: 97 × 74.9 cm (38 3/16 × 29 1/2 in.)",Dataset\Jacob Cornelisz. van Oostsanen\the-adoration-of-the-christ-child
13,Saint Catherine,Jean Bellegambe,c. 1520,Oil on panel,32 1/2 × 11 1/16 in. (82.5 × 28.1 cm); painted surface 32 1/8 × 10 3/4 in. (81.5 × 27.3 cm),Dataset\Jean Bellegambe\saint-catherine
14,Saint Barbara,Jean Bellegambe,c. 1520,Oil on panel,32 3/8 × 11 1/16 in. (82.3 × 28.2 cm; painted surface: 32 1/8 × 10 3/4 in. (81.7 × 27.3 cm),Dataset\Jean Bellegambe\saint-barbara
15,Giafar,Alfred Dedreux,1850s,Oil on panel,13 × 18 in. (33 × 45.8 cm),Dataset\Alfred Dedreux\giafar
16,Chariot Race,Jean Léon Gérôme,1876,Oil on cradled panel,86.3 × 156 cm (34 × 61 7/16 in.),Dataset\Jean Léon Gérôme\chariot-race
17,Odalisque,Jules Joseph Lefebvre,1874,Oil on canvas,102.4 × 200.7 cm (41 5/16 × 79 in.),Dataset\Jules Joseph Lefebvre\odalisque
18,African Chief,Mariano Fortuny y Marsal,1870,Oil on canvas,41 × 32.9 cm (16 1/8 × 12 15/16 in.),Dataset\Mariano Fortuny y Marsal\african-chief
19,"Fête de Saint Marc, Venise",Félix Ziem,19th century,Oil on canvas,69 × 107.5 cm (27 1/8 × 42 3/8 in.),Dataset\Félix Ziem\fete-de-saint-marc-venise
20,Saint Peter Martyr Exorcizing a Woman Possessed by a Devil,Antonio Vivarini,1445/55,Tempera on panel,Panel: 54.8 × 35.5 cm (21 9/16 × 14 in.); Painted Surface: 51.3 × 33.7 cm (20 3/16 × 13 1/4 in.),Dataset\Antonio Vivarini\saint-peter-martyr-exorcizing-a-woman-possessed-by-a-devil
21,"Venetian scene, San Trovato",Gonzalo Bilbao y Martinez,c. 1886,Oil on canvas,28.6 × 41.7 cm (11 1/4 × 16 7/16 in.),Dataset\Gonzalo Bilbao y Martinez\venetian-scene-san-trovato
22,The Apotheosis of the Hero,Follower of Peter Paul Rubens,1630/40,Oil on panel,48.4 × 63.2 cm (19 1/16 × 24 7/8 in.),Dataset\Follower of Peter Paul Rubens\the-apotheosis-of-the-hero
23,"Untitled (Purple, White, and Red)",Mark Rothko,1953,Oil on canvas,"197.5 × 207.7 cm (77 3/4 × 81 3/4 in.), unframed",Dataset\Mark Rothko\untitled-purple-white-and-red
24,Beach at Cabasson (Baigne-Cul),Henri Edmond Cross,1891/92,Oil on canvas,25 3/4 × 36 3/8 in. (65.3 × 92.3 cm),Dataset\Henri Edmond Cross\beach-at-cabasson-baigne-cul
25,The Coast of Labrador,William Bradford,1866,Oil on canvas,72 × 113.3 cm (28 3/8 × 44 5/8 in.),Dataset\William Bradford\the-coast-of-labrador
26,Magnolias on Light Blue Velvet Cloth,Martin Johnson Heade,1885/95,Oil on canvas,38.6 × 61.8 cm (15 1/4 × 24 3/8 in.),Dataset\Martin Johnson Heade\magnolias-on-light-blue-velvet-cloth
27,Untitled XI,Willem de Kooning,1975,Oil on linen,"195.6 × 223.5 cm (77 × 88 in.), without frame",Dataset\Willem de Kooning\untitled-xi
28,Sky above Clouds IV,Georgia O'Keeffe,1965,Oil on canvas,243.8 × 731.5 cm (96 × 288 in.),Dataset\Georgia O'Keeffe\sky-above-clouds-iv
29,Adam and Eve in Paradise,Francesco Solimena,c. 1700,Oil on canvas,50 1/2 × 39 3/4 in. (128.2 × 101 cm),Dataset\Francesco Solimena\adam-and-eve-in-paradise
30,Summer Night in Arizona,Max Ernst,1944,Oil on canvas,11 × 17 in.,Dataset\Max Ernst\summer-night-in-arizona
31,Two Girls in a Garden,Karl Schmidt-Rottluff,1914,Oil on canvas,39 1/2 × 34 in. (100.3 × 86.4 cm),Dataset\Karl Schmidt-Rottluff\two-girls-in-a-garden
32,"Glittering, the Being",Matta,1958,Oil on canvas,113 × 142.2 cm (44 1/2 × 56 in.),Dataset\Matta\glittering-the-being
33,Max Herrmann-Neisse,Ludwig Meidner,1913,Oil on canvas,35 1/4 × 29 3/4 in. (89.5 × 75.6 cm),Dataset\Ludwig Meidner\max-herrmann-neisse
34,Rest on the Flight into Egypt,Jean Charles Cazin,1885/90,Oil on canvas,23 1/2 × 28 3/4 in. (59.6 × 73 cm),Dataset\Jean Charles Cazin\rest-on-the-flight-into-egypt
35,Virgin and Child,Unknown Central Italian,c. 1450,"Tempera and oil on panel, gold ground, arched top",81.6 × 49 cm (32 1/8 × 19 1/2 in.),Dataset\Unknown Central Italian\virgin-and-child
36,Assumption of the Virgin,Marcellus Koffermans,16th century,Oil on panel,"26.9 × 18.4 cm (10 5/8 × 7 1/4 in.)
Image: 25.4 × 16.9 cm (10 × 6 5/8 in.)",Dataset\Marcellus Koffermans\assumption-of-the-virgin
37,Mother and Two Children with Still Life,Adriaan de Lelie,1810,Oil on panel,14 1/4 × 11 15/16 in. (36.3 × 30.3 cm),Dataset\Adriaan de Lelie\mother-and-two-children-with-still-life
38,The Beheading of Saint John the Baptist,Master Palanquinos,1490/1500,Tempera and oil on panel,42 7/8 × 29 in. (109 × 73.7 cm),Dataset\Master Palanquinos\the-beheading-of-saint-john-the-baptist
39,Saint Anthony Abbot and Saint Paul the Hermit Fed by the Raven,Rusiñol Master,1395–1405,"Oil on panel

Harding #1207","25 5/16 x 21 1/2"" (64.2 x 54 cm)",Dataset\Rusiñol Master\saint-anthony-abbot-and-saint-paul-the-hermit-fed-by-the-raven
40,Saint Anthony Abbot Tormented by Demons,Rusiñol Master,late 14th cen.,"Oil on panel

Harding #1209","25 5/16 x 21 1/2"" (64.2 x 54 cm)",Dataset\Rusiñol Master\saint-anthony-abbot-tormented-by-demons
41,Saint Monica from an Augustinian altarpiece,Venetian School,1450/75,Tempera and oil on panel,Panel: 126.6 × 31.2 cm (49 7/8 × 12 1/4 in.); Painted Surface: 119 × 24.9 cm (46 7/8 × 9 13/16 in.),Dataset\Venetian School\saint-monica-from-an-augustinian-altarpiece
42,Phaeton Driving the Chariot of Phoebus,Unknown artist,1475/1500,Tempera or distemper on canvas,55.3 × 55.6 cm (21 3/4 × 21 13/16 in.),Dataset\Unknown artist\phaeton-driving-the-chariot-of-phoebus
43,The Expulsion of Adam and Eve from Paradise,Benjamin West,"1791, retouched 1803",Oil on canvas,48.6 × 72.9 cm (19 1/8 × 28 11/16 in.),Dataset\Benjamin West\the-expulsion-of-adam-and-eve-from-paradise
44,Michigan Avenue with View of the Art Institute,Richard Estes,1984,Oil on canvas,91.4 × 121.9 cm (36 × 48 in.),Dataset\Richard Estes\michigan-avenue-with-view-of-the-art-institute
45,American Collectors (Fred and Marcia Weisman),David Hockney,1968,Acrylic on canvas,213.4 × 304.8 cm (83 7/8 × 120 in.),Dataset\David Hockney\american-collectors-fred-and-marcia-weisman
46,Amorosa Tropicalia,Richard Maris Loving,1983,Oil on canvas,172.7 × 243.8 cm (68 × 96 in.),Dataset\Richard Maris Loving\amorosa-tropicalia
47,Con brio,Keith Morrison,1983,Oil on canvas,44 × 44 in.,Dataset\Keith Morrison\con-brio
